Park,Apr-19,Apr-20,DIFF,YTD 2019,YTD 2020,DIFF
Abraham Lincoln Birthplace NHP,"16,496","15,092","-1,404","39,535","42,021","2,486"
Acadia NP,"68,046","55,713","-12,333","105,893","110,351","4,458"
Adams NHP,537,"1,127",590,996,"2,345","1,349"
African Burial Ground NM,"5,022",0,"-5,022","8,084","6,900","-1,184"
Agate Fossil Beds NM,391,129,-262,886,606,-280
Alibates Flint Quarries NM,"1,140",0,"-1,140","2,260",587,"-1,673"
Allegheny Portage Railroad NHS,"16,847",0,"-16,847","47,604","27,077","-20,527"
Amistad NRA,"132,270","122,962","-9,308","340,302","393,530","53,228"
Andersonville NHS,"10,645",139,"-10,506","31,314","22,252","-9,062"
Andrew Johnson NHS,"4,190","2,678","-1,512","14,060","10,728","-3,332"
Antietam NB,"24,037","6,800","-17,237","47,200","29,023","-18,177"
Apostle Islands NL,"4,311","6,646","2,335","13,337","18,184","4,847"
Appomattox Court House NHP,"14,285","1,500","-12,785","22,410","11,152","-11,258"
Arches NP,"168,788",0,"-168,788","352,717","152,501","-200,216"
Arkansas Post NMEM,"2,241","2,942",701,"7,877","8,812",935
Assateague Island NS,"153,044","38,205","-114,839","335,142","213,390","-121,752"
Aztec Ruins NM,"5,296","1,615","-3,681","11,115","8,647","-2,468"
Badlands NP,"25,083","17,290","-7,793","58,640","54,597","-4,043"
Bandelier NM,"25,153","1,293","-23,860","49,069","22,381","-26,688"
Belmont-Paul Women's Equality NM,990,990,0,"3,060","3,955",895
Bent's Old Fort NHS,"1,779",0,"-1,779","3,782","1,740","-2,042"
Bering Land Bridge NPRES,216,216,0,895,895,0
Big Bend NP,"49,312",0,"-49,312","205,585","155,737","-49,848"
Big Cypress NPRES,"67,562","46,744","-20,818","450,437","527,768","77,331"
Big Hole NB,721,145,-576,"1,557","1,428",-129
Big South Fork NRRA,"61,262","43,072","-18,190","179,254","183,561","4,307"
Big Thicket NPRES,"23,174","14,315","-8,859","61,451","65,209","3,758"
Bighorn Canyon NRA,"14,104","9,432","-4,672","30,990","28,077","-2,913"
