Park,AUG 2019,AUG 2020,DIFF,YTD 2019,YTD 2020,DIFF
Abraham Lincoln Birthplace NHP,"34,816","31,290","-3,526","163,185","160,773","-2,412"
Acadia NP,"759,735","681,746","-77,989","2,338,943","1,590,344","-748,599"
Adams NHP,"26,011",520,"-25,491","139,490","4,827","-134,663"
African Burial Ground NM,"4,332",0,"-4,332","28,039","6,900","-21,139"
Agate Fossil Beds NM,"2,775","1,686","-1,089","13,347","5,813","-7,534"
Alibates Flint Quarries NM,534,439,-95,"5,952","1,714","-4,238"
Allegheny Portage Railroad NHS,"20,404","16,245","-4,159","126,679","76,590","-50,089"
Amistad NRA,"123,571","147,118","23,547","853,667","991,251","137,584"
Andersonville NHS,"5,620","5,116",-504,"67,050","43,643","-23,407"
Andrew Johnson NHS,"4,353","3,939",-414,"35,933","29,582","-6,351"
Aniakchak NM & PRES,35,35,0,90,90,0
Antietam NB,"33,531","5,881","-27,650","200,872","61,848","-139,024"
Apostle Islands NL,"64,711","56,793","-7,918","191,689","158,494","-33,195"
Appomattox Court House NHP,"10,358","6,454","-3,904","74,944","34,080","-40,864"
Arches NP,"184,890","164,539","-20,351","1,189,280","688,395","-500,885"
Arkansas Post NMEM,"2,122","2,780",658,"22,436","22,705",269
Assateague Island NS,"453,668","456,306","2,638","1,802,369","1,869,017","66,648"
Aztec Ruins NM,"6,361","2,860","-3,501","42,665","19,518","-23,147"
Badlands NP,"207,743","220,523","12,780","790,682","737,416","-53,266"
Bandelier NM,"18,447","8,788","-9,659","142,170","59,100","-83,070"
Belmont-Paul Women's Equality NM,789,789,0,"6,559","7,454",895
Bent's Old Fort NHS,"2,117","1,659",-458,"16,166","8,061","-8,105"
Bering Land Bridge NPRES,156,156,0,"1,809","1,809",0
Big Bend NP,"17,238","10,861","-6,377","303,209","193,333","-109,876"
Big Cypress NPRES,"53,820","83,909","30,089","666,194","842,902","176,708"
Big Hole NB,"8,969","9,506",537,"35,454","26,230","-9,224"
Big South Fork NRRA,"72,051","80,783","8,732","501,062","513,265","12,203"
Big Thicket NPRES,"26,920","22,459","-4,461","161,107","160,579",-528
Bighorn Canyon NRA,"63,717","44,424","-19,293","210,011","175,335","-34,676"
Biscayne NP,"46,191","34,416","-11,775","502,866","323,540","-179,326"
Black Canyon of the Gunnison NP,"80,046","58,097","-21,949","330,448","216,048","-114,400"
Blue Ridge PKWY,"1,845,584","1,520,740","-324,844","9,480,783","8,528,031","-952,752"
Bluestone NSR,"6,939","7,036",97,"27,680","15,926","-11,754"
Booker T. Washington NM,"2,589","2,426",-163,"16,528","9,802","-6,726"
Boston African American NHS,"88,618","16,808","-71,810","348,885","76,844","-272,041"
Boston NHP,"456,429","15,006","-441,423","2,188,392","235,088","-1,953,304"
Brown v. Board of Education NHS,"1,896",0,"-1,896","15,518","4,064","-11,454"
Bryce Canyon NP,"383,458","210,153","-173,305","1,861,280","822,747","-1,038,533"
Buck Island Reef NM,"3,017",996,"-2,021","29,116","13,174","-15,942"
Buffalo NR,"148,993","218,672","69,679","1,050,376","1,142,944","92,568"
Cabrillo NM,"77,624","55,970","-21,654","517,255","329,716","-187,539"
Canaveral NS,"165,527","93,577","-71,950","1,374,777","584,801","-789,976"
Cane River Creole NHP,"3,303","2,419",-884,"21,026","13,600","-7,426"
Canyon de Chelly NM,"51,391",0,"-51,391","288,021","73,311","-214,710"
Canyonlands NP,"69,297","59,334","-9,963","508,232","235,465","-272,767"
Cape Cod NS,"752,184","680,543","-71,641","2,840,107","2,818,486","-21,621"
Cape Hatteras NS,"398,662","387,379","-11,283","1,971,874","1,784,621","-187,253"
Cape Krusenstern NM,"1,670",585,"-1,085","8,821","3,952","-4,869"
Cape Lookout NS,"59,624","67,496","7,872","323,272","307,938","-15,334"
Capitol Reef NP,"127,341","106,071","-21,270","849,796","572,221","-277,575"
Capulin Volcano NM,"10,050","9,365",-685,"66,915","43,714","-23,201"
Carl Sandburg Home NHS,"6,488","3,892","-2,596","55,691","24,610","-31,081"
Carlsbad Caverns NP,"36,354","17,002","-19,352","321,112","119,562","-201,550"
Carter G. Woodson Home NHS,227,0,-227,"1,766",548,"-1,218"
Casa Grande Ruins NM,"2,119",784,"-1,335","47,487","33,440","-14,047"
Castillo de San Marcos NM,"43,197","43,197",0,"473,367","236,854","-236,513"
Castle Clinton NM,"550,729","22,235","-528,494","3,048,438","498,179","-2,550,259"
Catoctin Mountain Park,"32,928","44,336","11,408","185,088","335,526","150,438"
Cedar Breaks NM,"116,109","138,713","22,604","380,045","544,653","164,608"
Cesar E. Chavez NM,"1,768",140,"-1,628","10,510","5,076","-5,434"
Chaco Culture NHP,"4,228","4,228",0,"31,887","31,714",-173
Chamizal NMEM,"2,049","1,672",-377,"25,079","13,345","-11,734"
Channel Islands NP,"49,793","11,694","-38,099","286,984","77,273","-209,711"
Charles Pinckney NHS,"2,484","3,807","1,323","25,191","12,224","-12,967"
Charles Young Buffalo Soldiers NM,"2,429",90,"-2,339","9,675","1,658","-8,017"
Chattahoochee River NRA,"391,718","393,599","1,881","2,286,664","1,980,730","-305,934"
Chesapeake & Ohio Canal NHP,"569,556","616,811","47,255","3,522,353","4,128,264","605,911"
Chickamauga & Chattanooga NMP,"87,375","60,782","-26,593","664,260","418,976","-245,284"
Chickasaw NRA,"211,904","220,467","8,563","1,114,823","1,044,172","-70,651"
Chiricahua NM,"2,532","2,551",19,"43,727","29,174","-14,553"
Christiansted NHS,"7,797",0,"-7,797","71,683","23,746","-47,937"
City of Rocks NRES,"16,659","13,059","-3,600","72,753","74,798","2,045"
Clara Barton NHS,450,0,-450,"2,700",450,"-2,250"
Colonial NHP,"361,274","361,274",0,"2,315,629","2,151,167","-164,462"
Colorado NM,"53,897","50,100","-3,797","282,678","284,864","2,186"
Congaree NP,"11,028","9,554","-1,474","114,471","56,781","-57,690"
Coronado NMEM,"12,838","17,208","4,370","73,303","111,540","38,237"
Cowpens NB,"38,556","19,384","-19,172","161,336","149,845","-11,491"
Crater Lake NP,"163,472","222,368","58,896","539,167","505,424","-33,743"
Craters of the Moon NM & PRES,"47,304","48,481","1,177","210,781","162,353","-48,428"
Cumberland Gap NHP,"77,974","95,368","17,394","466,840","437,305","-29,535"
Cumberland Island NS,"2,748","2,990",242,"38,527","21,415","-17,112"
Curecanti NRA,"144,598","177,145","32,547","628,818","662,687","33,869"
Cuyahoga Valley NP,"285,616","285,616",0,"1,554,492","1,554,492",0
Dayton Aviation Heritage NHP,"7,967","3,645","-4,322","61,142","7,891","-53,251"
De Soto NMEM,"14,270","12,981","-1,289","125,515","132,494","6,979"
Death Valley NP,"165,632","38,859","-126,773","1,166,638","482,788","-683,850"
Delaware Water Gap NRA,"434,019","396,405","-37,614","2,318,806","1,899,703","-419,103"
Denali NP & PRES,"154,044","14,457","-139,587","531,271","43,816","-487,455"
Devils Postpile NM,"44,879","44,879",0,"91,302","90,827",-475
Devils Tower NM,"100,207","113,593","13,386","363,642","311,004","-52,638"
Dinosaur NM,"52,365","53,769","1,404","238,018","180,504","-57,514"
Dry Tortugas NP,"6,658","3,971","-2,687","58,768","28,353","-30,415"
Edgar Allan Poe NHS,"1,665",0,"-1,665","10,271","2,037","-8,234"
Effigy Mounds NM,"10,110","1,300","-8,810","45,822","14,775","-31,047"
Eisenhower NHS,"5,718","1,333","-4,385","29,906","2,569","-27,337"
El Malpais NM,"17,514","17,514",0,"108,630","94,268","-14,362"
El Morro NM,"7,441","4,853","-2,588","49,912","24,082","-25,830"
Eleanor Roosevelt NHS,"6,914",669,"-6,245","29,132","6,765","-22,367"
Eugene O'Neill NHS,255,0,-255,"2,113",399,"-1,714"
Everglades NP,"80,177","44,307","-35,870","750,201","539,045","-211,156"
Federal Hall NMEM,"33,851",0,"-33,851","196,550","13,822","-182,728"
Fire Island NS,"99,007","18,646","-80,361","291,137","95,841","-195,296"
First Ladies NHS,"1,290",323,-967,"6,371","1,561","-4,810"
Flight 93 NMEM,"51,672","31,929","-19,743","254,547","113,758","-140,789"
Florissant Fossil Beds NM,"12,295","11,824",-471,"56,201","40,707","-15,494"
Ford's Theatre NHS,"31,285","31,285",0,"432,066","426,626","-5,440"
Fort Bowie NHS,178,45,-133,"5,204","4,037","-1,167"
Fort Caroline NMEM,"13,260","15,307","2,047","127,734","298,649","170,915"
Fort Davis NHS,"2,903","1,727","-1,176","34,988","21,071","-13,917"
Fort Donelson NB,"22,746","21,411","-1,335","182,838","173,116","-9,722"
Fort Frederica NM,"14,888","28,020","13,132","151,266","126,972","-24,294"
Fort Laramie NHS,"5,950","4,220","-1,730","32,132","17,373","-14,759"
Fort Larned NHS,"2,928","2,130",-798,"18,892","14,305","-4,587"
Fort Matanzas NM,"76,275","54,287","-21,988","476,839","349,314","-127,525"
Fort McHenry NM & HS,"50,600","22,823","-27,777","323,107","97,448","-225,659"
Fort Necessity NB,"52,716","52,716",0,"208,983","124,783","-84,200"
Fort Point NHS,"154,135","95,223","-58,912","1,026,128","530,333","-495,795"
Fort Pulaski NM,"33,792","24,019","-9,773","256,721","204,099","-52,622"
Fort Raleigh NHS,"37,729","20,427","-17,302","197,763","93,080","-104,683"
Fort Scott NHS,"2,198","1,999",-199,"16,335","9,777","-6,558"
Fort Smith NHS,"10,692","7,374","-3,318","82,190","41,772","-40,418"
Fort Stanwix NM,"10,613","4,319","-6,294","76,059","15,681","-60,378"
Fort Sumter and Fort Moultrie NHP,"91,702","38,182","-53,520","673,206","240,176","-433,030"
Fort Union NM,"1,017",438,-579,"7,918","3,348","-4,570"
Fort Union Trading Post NHS,"1,902","1,191",-711,"10,893","3,736","-7,157"
Fort Vancouver NHS,"124,641","124,641",0,"704,716","707,636","2,920"
Fort Washington Park,"43,748","43,748",0,"339,777","346,815","7,038"
Fossil Butte NM,"3,744","3,060",-684,"15,979","8,725","-7,254"
Franklin Delano Roosevelt MEM,"221,632","221,632",0,"2,526,026","2,578,400","52,374"
Frederick Douglass NHS,"5,031","5,031",0,"46,260","50,022","3,762"
Frederick Law Olmsted NHS,959,959,0,"4,148","4,382",234
Fredericksburg & Spotsylvania NMP,"82,618","76,918","-5,700","613,675","568,917","-44,758"
Friendship Hill NHS,"2,541","3,079",538,"15,249","12,429","-2,820"
Gates of the Arctic NP & PRES,"5,399","1,195","-4,204","9,517","2,378","-7,139"
Gateway Arch NP,"208,999","31,610","-177,389","1,627,903","346,086","-1,281,817"
Gateway NRA,"1,085,625","1,085,625",0,"6,546,051","5,891,052","-654,999"
Gauley River NRA,"8,402","8,440",38,"57,507","43,755","-13,752"
General Grant NMEM,"12,219",0,"-12,219","79,308","20,292","-59,016"
George Rogers Clark NHP,"15,558","6,549","-9,009","107,956","26,799","-81,157"
George Washington Birthplace NM,"15,284","7,532","-7,752","96,401","18,001","-78,400"
George Washington Carver NM,"3,005","2,697",-308,"33,538","19,098","-14,440"
George Washington MEM PKWY,"864,637","1,085,649","221,012","5,072,109","4,336,341","-735,768"
Gettysburg NMP,"93,228","74,859","-18,369","676,485","337,926","-338,559"
Gila Cliff Dwellings NM,"4,389","4,389",0,"49,401","52,353","2,952"
Glacier Bay NP & PRES,"145,002","1,489","-143,513","555,503","4,749","-550,754"
Glacier NP,"771,874","459,121","-312,753","2,447,377","1,171,847","-1,275,530"
Glen Canyon NRA,"581,598","230,393","-351,205","3,387,232","1,293,785","-2,093,447"
Golden Gate NRA,"1,383,260","1,326,099","-57,161","9,992,020","8,071,728","-1,920,292"
Golden Spike NHP,"7,824","5,646","-2,178","95,267","37,985","-57,282"
Governors Island NM,"145,081","7,980","-137,101","436,832","7,980","-428,852"
Grand Canyon NP,"700,896","295,462","-405,434","4,171,774","1,663,146","-2,508,628"
Grand Portage NM,"28,561","16,881","-11,680","75,189","43,847","-31,342"
Grand Teton NP,"702,022","710,198","8,176","2,607,297","2,216,221","-391,076"
Grant-Kohrs Ranch NHS,"3,939","3,114",-825,"16,611","10,485","-6,126"
Great Basin NP,"24,674","20,133","-4,541","92,966","72,348","-20,618"
Great Sand Dunes NP & PRES,"81,085","97,370","16,285","429,219","314,201","-115,018"
Great Smoky Mountains NP,"1,411,231","1,544,254","133,023","8,294,354","7,087,147","-1,207,207"
Greenbelt Park,"18,094","18,094",0,"121,766","117,796","-3,970"
Guadalupe Mountains NP,"10,532","7,767","-2,765","122,964","68,847","-54,117"
Guilford Courthouse NMP,"12,592","27,420","14,828","142,289","109,543","-32,746"
Gulf Islands NS,"569,383","525,528","-43,855","3,931,955","3,109,224","-822,731"
Hagerman Fossil Beds NM,"3,166","2,543",-623,"18,989","9,336","-9,653"
Haleakala NP,"84,618","1,854","-82,764","659,408","196,840","-462,568"
Hamilton Grange NMEM,"8,295",0,"-8,295","42,190","29,492","-12,698"
Hampton NHS,"2,832",288,"-2,544","17,091","6,250","-10,841"
Harpers Ferry NHP,"40,321","27,870","-12,451","201,015","139,360","-61,655"
Harry S Truman NHS,"3,557",751,"-2,806","21,659","6,867","-14,792"
Hawaii Volcanoes NP,"125,357","31,876","-93,481","940,879","400,551","-540,328"
Herbert Hoover NHS,"20,359","5,988","-14,371","89,015","44,354","-44,661"
Home of Franklin D. Roosevelt NHS,"17,913","2,762","-15,151","93,219","29,504","-63,715"
Homestead NM of America,"5,874","5,303",-571,"43,109","27,275","-15,834"
Hopewell Culture NHP,"9,816","4,902","-4,914","43,978","28,613","-15,365"
Hopewell Furnace NHS,"7,319","5,913","-1,406","34,729","19,931","-14,798"
Horseshoe Bend NMP,"3,853","3,722",-131,"36,412","21,026","-15,386"
Hot Springs NP,"181,982","63,997","-117,985","998,523","416,161","-582,362"
Hovenweep NM,"1,815","2,461",646,"24,376","11,814","-12,562"
Hubbell Trading Post NHS,"2,800",0,"-2,800","31,350","11,407","-19,943"
Independence NHP,"473,898","41,239","-432,659","3,154,279","651,155","-2,503,124"
Indiana Dunes NP,"290,469","389,689","99,220","1,667,593","1,667,832",239
Isle Royale NP,"8,798","2,482","-6,316","22,561","5,019","-17,542"
James A. Garfield NHS,"4,520","1,457","-3,063","30,584","11,204","-19,380"
Jean Lafitte NHP & PRES,"46,991","9,317","-37,674","383,671","142,014","-241,657"
Jewel Cave NM,"18,656","7,937","-10,719","109,656","26,468","-83,188"
Jimmy Carter NHS,"2,834",752,"-2,082","30,544","9,193","-21,351"
"John D. Rockefeller, Jr. MEM PKWY","330,191","330,191",0,"1,108,583","966,922","-141,661"
John Day Fossil Beds NM,"33,506","15,266","-18,240","143,776","62,865","-80,911"
John F. Kennedy NHS,"3,702",0,"-3,702","13,018",451,"-12,567"
John Muir NHS,"3,535","1,266","-2,269","29,545","24,599","-4,946"
Johnstown Flood NMEM,"29,160","13,558","-15,602","114,804","45,065","-69,739"
Joshua Tree NP,"120,911","133,028","12,117","1,999,552","1,347,116","-652,436"
Kalaupapa NHP,"5,775",461,"-5,314","46,493","39,285","-7,208"
Kaloko Honokohau NHP,"15,711","7,947","-7,764","162,738","92,230","-70,508"
Katmai NP & PRES,"23,772","23,772",0,"71,280","71,280",0
Kenai Fjords NP,"78,129","32,689","-45,440","319,104","89,917","-229,187"
Kennesaw Mountain NBP,"240,941","244,755","3,814","1,894,917","1,555,147","-339,770"
Keweenaw NHP,"4,399","4,399",0,"14,260","14,467",207
Kings Canyon NP,"113,009","95,540","-17,469","456,151","302,751","-153,400"
Kings Mountain NMP,"26,317","15,963","-10,354","177,257","174,784","-2,473"
Klondike Gold Rush NHP Alaska,"219,853",0,"-219,853","970,125",0,"-970,125"
Klondike Gold Rush NHP Seattle,"17,510",0,"-17,510","81,992","11,233","-70,759"
Knife River Indian Villages NHS,"1,853","1,007",-846,"8,597","3,679","-4,918"
Kobuk Valley NP,"1,770",620,"-1,150","9,061","4,480","-4,581"
Korean War Veterans Memorial,"310,592","310,592",0,"2,799,542","2,837,131","37,589"
Lake Chelan NRA,"7,001","6,230",-771,"28,011","21,351","-6,660"
Lake Clark NP & PRES,"5,580","5,580",0,"14,812","14,812",0
Lake Mead NRA,"649,731","866,841","217,110","5,287,159","5,720,156","432,997"
Lake Meredith NRA,"178,391","205,132","26,741","1,052,958","1,152,861","99,903"
Lake Roosevelt NRA,"280,100","256,678","-23,422","1,074,464","1,188,616","114,152"
Lassen Volcanic NP,"98,109","120,113","22,004","328,245","364,669","36,424"
Lava Beds NM,"16,869","21,591","4,722","75,366","77,349","1,983"
LBJ Memorial Grove on the Potomac,"19,799","23,664","3,865","149,399","122,746","-26,653"
Lewis & Clark NHP,"40,982","29,991","-10,991","204,828","102,223","-102,605"
Lincoln Boyhood NMEM,"7,913","6,804","-1,109","116,430","91,484","-24,946"
Lincoln Home NHS,"22,486","2,061","-20,425","155,115","20,094","-135,021"
Lincoln Memorial,"765,163","765,163",0,"5,531,158","5,689,516","158,358"
Little Bighorn Battlefield NM,"37,714","37,714",0,"188,188","188,188",0
Little River Canyon NPRES,"58,004","80,196","22,192","472,648","564,877","92,229"
Little Rock Central High School NHS,"14,386","3,194","-11,192","106,427","46,808","-59,619"
Longfellow House Washington's HQ NHS,"8,335","5,208","-3,127","36,016","19,039","-16,977"
Lowell NHP,"52,149","1,008","-51,141","393,511","52,352","-341,159"
Lyndon B. Johnson NHP,"5,462","3,878","-1,584","78,067","35,577","-42,490"
Maggie L. Walker NHS,908,908,0,"6,988","6,386",-602
Mammoth Cave NP,"72,400","36,460","-35,940","420,278","170,879","-249,399"
Manassas NBP,"38,681","54,260","15,579","318,899","374,232","55,333"
Manhattan Project NHP,"9,473",530,"-8,943","56,244","9,605","-46,639"
Manzanar NHS,"10,760","11,521",761,"68,690","40,240","-28,450"
Marsh-Billings-Rockefeller NHP,"7,104","7,104",0,"28,900","28,900",0
"Martin Luther King, Jr. Memorial","326,336","326,336",0,"2,790,730","2,846,294","55,564"
"Martin Luther King, Jr. NHP","72,349","72,349",0,"517,600","536,312","18,712"
Martin Van Buren NHS,"3,896","1,530","-2,366","14,332","8,187","-6,145"
Mary McLeod Bethune Council House NHS,549,0,-549,"3,079",578,"-2,501"
Mesa Verde NP,"87,133","56,923","-30,210","420,124","182,373","-237,751"
Minidoka NHS,"3,464",421,"-3,043","12,297","3,216","-9,081"
Minute Man NHP,"106,075","111,437","5,362","694,552","695,802","1,250"
Minuteman Missile NHS,"25,404","19,665","-5,739","93,397","54,577","-38,820"
Mississippi NRRA,"44,205","20,200","-24,005","270,511","150,757","-119,754"
Missouri NRR,"12,303","16,225","3,922","74,147","65,410","-8,737"
Mojave NPRES,"74,117","36,461","-37,656","515,474","368,506","-146,968"
Monocacy NB,"15,657","6,092","-9,565","94,965","79,466","-15,499"
Montezuma Castle NM,"25,385","14,490","-10,895","254,259","132,975","-121,284"
Moores Creek NB,"5,600","4,854",-746,"53,636","45,224","-8,412"
Morristown NHP,"25,948","19,445","-6,503","172,432","121,572","-50,860"
Mount Rainier NP,"378,305","345,496","-32,809","1,155,691","781,934","-373,757"
Mount Rushmore NMEM,"414,171","481,694","67,523","1,580,381","1,552,567","-27,814"
Muir Woods NM,"102,318","39,258","-63,060","586,156","209,507","-376,649"
Natchez NHP,"11,956","9,184","-2,772","127,693","35,431","-92,262"
