Park,FEB 2019,FEB 2020,DIFF,YTD 2019,YTD 2020,DIFF
Abraham Lincoln Birthplace NHP,"6,534","7,406",872,"8,473","14,317","5,844"
Acadia NP,"9,154","13,459","4,305","17,686","26,099","8,413"
Adams NHP,179,320,141,206,620,414
African Burial Ground NM,"1,571","1,994",423,"1,667","6,273","4,606"
Agate Fossil Beds NM,94,194,100,94,301,207
Alibates Flint Quarries NM,272,314,42,314,587,273
Allegheny Portage Railroad NHS,"8,874","11,180","2,306","18,849","22,433","3,584"
Amistad NRA,"70,392","74,908","4,516","134,520","139,648","5,128"
Andersonville NHS,"6,753","7,882","1,129","7,859","15,221","7,362"
Andrew Johnson NHS,"3,506","2,618",-888,"6,165","5,225",-940
Antietam NB,"6,421","7,968","1,547","7,701","13,957","6,256"
Apostle Islands NL,"4,424","3,961",-463,"4,424","6,591","2,167"
Appomattox Court House NHP,"2,284","3,649","1,365","2,400","6,431","4,031"
Arches NP,"30,239","42,416","12,177","51,738","70,878","19,140"
Arkansas Post NMEM,"1,495","1,430",-65,"2,041","2,919",878
Assateague Island NS,"43,977","49,328","5,351","108,009","102,416","-5,593"
Aztec Ruins NM,"1,207","2,083",876,"1,645","3,811","2,166"
Badlands NP,"8,059","9,979","1,920","17,040","20,124","3,084"
Bandelier NM,"4,949","5,201",252,"5,136","10,484","5,348"
Belmont-Paul Women's Equality NM,561,561,0,584,"1,479",895
Bent's Old Fort NHS,441,629,188,477,"1,108",631
Bering Land Bridge NPRES,127,127,0,387,387,0
Big Bend NP,"43,129","50,584","7,455","72,447","94,324","21,877"
Big Cypress NPRES,"183,754","197,828","14,074","270,145","350,370","80,225"
Big Hole NB,263,476,213,357,866,509
Big South Fork NRRA,"42,159","55,721","13,562","76,415","93,900","17,485"
Big Thicket NPRES,"14,046","15,427","1,381","23,418","31,147","7,729"
Bighorn Canyon NRA,"4,082","6,523","2,441","9,795","10,953","1,158"
Biscayne NP,"59,754","91,655","31,901","110,627","170,696","60,069"
Black Canyon of the Gunnison NP,"6,369","9,112","2,743","11,290","17,219","5,929"
Blue Ridge PKWY,"472,547","574,174","101,627","818,928","1,067,918","248,990"
Bluestone NSR,84,0,-84,159,0,-159
Booker T. Washington NM,"1,316",986,-330,"1,401","1,800",399
Boston African American NHS,"6,113","5,216",-897,"8,462","7,353","-1,109"
Boston NHP,"82,987","94,825","11,838","137,885","172,811","34,926"
Brown v. Board of Education NHS,906,"1,304",398,947,"2,407","1,460"
Bryce Canyon NP,"29,813","38,890","9,077","66,673","71,634","4,961"
Buck Island Reef NM,"3,688","2,554","-1,134","7,397","4,973","-2,424"
Buffalo NR,"25,119","34,196","9,077","43,263","61,401","18,138"
Cabrillo NM,"56,248","63,403","7,155","63,054","134,257","71,203"
Canaveral NS,"211,401","83,748","-127,653","240,421","167,092","-73,329"
Cane River Creole NHP,"1,368","1,181",-187,"1,409","4,536","3,127"
Canyon de Chelly NM,"20,192","19,718",-474,"40,601","44,341","3,740"
Canyonlands NP,"9,705","12,121","2,416","16,851","21,172","4,321"
Cape Cod NS,"131,478","134,957","3,479","245,660","296,462","50,802"
Cape Hatteras NS,"72,796","76,105","3,309","145,563","158,021","12,458"
Cape Krusenstern NM,835,338,-497,"1,933","1,542",-391
Cape Lookout NS,"15,944","17,177","1,233","37,530","39,355","1,825"
Capitol Reef NP,"12,368","20,579","8,211","24,261","34,734","10,473"
Capulin Volcano NM,"3,324","1,868","-1,456","3,518","3,786",268
Carl Sandburg Home NHS,"4,617","4,617",0,"4,779","8,610","3,831"
Carlsbad Caverns NP,"19,470","20,860","1,390","22,563","42,179","19,616"
Carter G. Woodson Home NHS,208,432,224,208,508,300
Casa Grande Ruins NM,"12,240","13,111",871,"13,846","23,677","9,831"
Castillo de San Marcos NM,"61,948","64,923","2,975","67,040","137,067","70,027"
Castle Clinton NM,"193,675","191,971","-1,704","374,818","379,799","4,981"
Catoctin Mountain Park,"3,243","27,788","24,545","12,582","55,676","43,094"
Cedar Breaks NM,"4,167","11,024","6,857","19,402","26,142","6,740"
Cesar E. Chavez NM,907,"1,833",926,907,"3,576","2,669"
Chaco Culture NHP,773,773,0,883,883,0
Chamizal NMEM,"2,938","3,203",265,"3,577","4,610","1,033"
Channel Islands NP,"22,263","19,682","-2,581","31,456","36,848","5,392"
