pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,2019-09-24,92.7,-3.33,5.28,Max Scherzer,656514,453286,field_out,hit_into_play,,,,,6,Adam Haseley flies out to center fielder Victor Robles.  ,R,L,R,WSH,PHI,X,8,fly_ball,0,0,2019,-0.94,1.21,0.62,2.78,,,664068,2,6,Top,118.89,90.43,,,543228,,190925_005920,12.15912392,-134.5582313,-3.24787005,-13.93761154,27.23429772,-16.87675563,3.34,1.73,257,76.7,39,93.1,2299,6.5,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54,0.06,0.054,0,1,0,0,3,46,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019-09-24,84.4,-3.3,5.25,Max Scherzer,664068,453286,single,hit_into_play_no_out,,,,,9,Scott Kingery singles on a soft ground ball to third baseman Anthony Rendon.  ,R,R,R,WSH,PHI,X,5,ground_ball,1,2,2019,-1.34,0.09,0.65,1.46,,,,2,6,Top,116.21,174.41,,,543228,,190925_005823,11.78781278,-122.3834644,-2.606222883,-15.69692529,22.60759718,-31.03096011,3.34,1.56,6,51.5,-24,84.3,1494,6.3,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.22,0.09,0.081,0.9,1,1,0,1,45,5,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019-09-24,97.4,-3.14,5.36,Max Scherzer,664068,453286,,foul,,,,,8,,R,R,R,WSH,PHI,S,,,1,2,2019,-0.84,1.35,-0.12,2.18,,,,2,6,Top,,,,,543228,,190925_005750,9.958271153,-141.4515069,-6.086318771,-13.40134129,30.82089029,-13.01934701,3.46,1.62,,,,97.2,2465,6.2,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.33,,,,,,,,45,4,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019-09-24,84.8,-3.4,5.06,Max Scherzer,664068,453286,,ball,,,,,14,,R,R,R,WSH,PHI,B,,,0,2,2019,0.46,-0.02,1.39,0.8,,,,2,6,Top,,,,,543228,,190925_005726,10.22738134,-123.1506112,-3.559568283,2.701702059,23.98949144,-31.85903147,3.37,1.51,,,,84.5,2295,6.2,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.35,,,,,,,,45,3,Slider,2,4,4,2,4,2,4,2,Standard,Standard
CU,2019-09-24,79.1,-3.29,5.38,Max Scherzer,664068,453286,,foul,,,,,4,,R,R,R,WSH,PHI,S,,,0,1,2019,0.8,0.03,-0.53,2.74,,,,2,6,Top,,,,,543228,,190925_005705,4.517907213,-115.1224178,0.934115248,6.168778664,20.70801322,-32.2955726,3.43,1.53,162,,,78.4,2818,5.7,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.75,,,,,,,,45,2,Curveball,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019-09-24,95.4,-3.4,5.21,Max Scherzer,664068,453286,,called_strike,,,,,9,,R,R,R,WSH,PHI,S,,,0,0,2019,-1.11,1.22,0.59,2.01,,,,2,6,Top,,,,,543228,,190925_005640,12.79168587,-138.144717,-5.379151528,-16.81201423,29.78456762,-15.84432212,3.43,1.56,,,,94.5,2589,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.57,,,,,,,,45,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
FC,2019-09-24,90.1,-3.28,5.16,Max Scherzer,543543,453286,strikeout,swinging_strike,,,,,14,Brad Miller strikes out swinging.  ,R,L,R,WSH,PHI,S,2,,0,2,2019,-0.02,0.6,1.24,1.14,,,,1,6,Top,,,,,543228,,190925_005605,11.14211278,-130.7527321,-5.23181949,-2.452314388,25.68217426,-24.52248289,3.55,1.62,,,,89.4,2588,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.64,,,0,1,0,0,,44,3,Cutter,2,4,4,2,4,2,4,2,Infield shift,Standard
CU,2019-09-24,80.6,-3.22,5.37,Max Scherzer,543543,453286,,swinging_strike,,,,,14,,R,L,R,WSH,PHI,S,,,0,1,2019,0.91,-0.63,0.52,1.32,,,,1,6,Top,,,,,543228,,190925_005538,6.571890311,-117.2482825,-1.180559623,7.053132056,21.15714889,-37.93990224,3.43,1.56,,,,80.1,2794,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.63,,,,,,,,44,2,Curveball,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019-09-24,95.9,-3.13,5.42,Max Scherzer,543543,453286,,swinging_strike,,,,,3,,R,L,R,WSH,PHI,S,,,0,0,2019,-0.89,1.28,0.33,3.22,,,,1,6,Top,,,,,543228,,190925_005520,11.02352756,-139.2060496,-2.998890615,-13.87940667,31.29577262,-15.37065643,3.66,1.71,,,,95.1,2547,6,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.53,,,,,,,,44,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shift,Standard
SL,2019-09-24,84.7,-3.43,5.02,Max Scherzer,516416,453286,field_out,hit_into_play,,,,,9,"Jean Segura grounds out, shortstop Trea Turner to first baseman Matt Adams.  ",R,R,R,WSH,PHI,X,6,ground_ball,2,2,2019,0.33,0.05,0.64,1.71,,,,0,6,Top,106.11,155.05,,,543228,,190925_005444,8.818031487,-123.1102888,-1.517562037,1.654976936,23.24402788,-31.56707659,3.11,1.51,5,89.5,-26,84.5,,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.38,0.092,0.084,0,1,0,0,2,43,6,Slider,2,4,4,2,4,2,4,2,Standard,Standard
